Alabama ,Orientation
Autauga,Defense 
Baldwin,Neutral
Barbour,Plaintiff 
Bibb,Neutral
Blount,Neutral
Bullock,Plaintiff 
Butler,Defense 
Calhoun,Neutral
Chambers,Neutral
Cherokee,Neutral
Chilton,Defense 
Choctaw,Plaintiff 
Clarke,Plaintiff 
Clay,Defense 
Cleburne,Neutral
Coffee,Plaintiff 
Colbert,Neutral
Conecuh,Plaintiff 
Coosa,Defense 
Covington,Defense 
Crenshaw,Neutral
Cullman,Defense 
Dale,Defense 
Dallas,Plaintiff 
De Kalb,Neutral
Elmore,Neutral
Escambia,Neutral
Etowah,Neutral
Fayette,Neutral
Franklin,Neutral
Geneva,Neutral
Greene,Plaintiff 
Hale,Plaintiff 
Henry,Defense 
Houston,Defense 
Jackson,Neutral
Jefferson,Plaintiff 
Lamar,Neutral
Lauderdale,Defense 
Lawrence,Defense 
Lee,Defense 
Limestone,Neutral
Lowndes,Plaintiff 
Macon,Plaintiff 
Madison,Defense 
Marengo,Plaintiff 
Marion,Neutral
Marshall,Neutral
Mobile,Plaintiff 
Monroe,Neutral
Montgomery,Plaintiff 
Morgan,Neutral
Perry,Plaintiff 
Pickens,Neutral
Pike,Neutral
Randolph,Neutral
Russell,Plaintiff 
St. Clair,Neutral
Shelby,Defense 
Sumter,Plaintiff 
Talladega,Defense 
Tallapoosa,Neutral
Tuscaloosa,Neutral
Walker,Neutral
Washington,Plaintiff 
Wilcox,Plaintiff 
Winston,Neutral
