Colorado ,Orientation
Adams,Neutral
Alamosa,Neutral
Arapahoe,Defense
Archuleta,Defense
Baca,Defense
Bent,Defense
Boulder,Plaintiff
Broomfield,Defense
Chaffee,Defense
Cheyenne,Defense
Clear Creek,Defense
Conejos,Defense
Costilla,Defense
Crowley,Defense
Custer,Defense
Delta,Defense
Denver,Plaintiff
Dolores,Defense
Douglas,Neutral
Eagle,Defense
Elbert,Defense
El Paso,Defense
Fremont,Defense
Garfield,Defense
Gilpin,Defense
Grand,Defense
Gunnison,Defense
Hinsdale,Defense
Huerfano,Neutral
Jackson,Defense
Jefferson,Neutral
Kiowa,Defense
Kit Carson,Defense
Lake,Defense
La Plata,Defense
Larimer,Neutral
Las Animas,Defense
Lincoln,Defense
Logan,Defense
Mesa,Defense
Mineral,Defense
Moffat,Defense
Montezuma,Neutral
Montrose,Defense
Morgan,Defense
Otero,Defense
Ouray,Defense
Park,Defense
Phillips,Defense
Pitkin,Plaintiff
Prowers,Defense
Pueblo,Plaintiff
Rio Blanco,Defense
Rio Grande,Defense
Routt,Defense
Saguache,Defense
San Juan,Defense
San Miguel,Defense
Sedgwick,Defense
Summit,Defense
Teller,Defense
Washington,Defense
Weld,Neutral
Yuma,Defense
