Connecticut ,Orientation
Bridgeport (Fairfield Judicial District),Plaintiff
Danbury,Defense
Hartford,Neutral
Litchfield Judicial District (Torrington),Defense
Middlesex,Neutral
New Haven,Neutral
New London,Plaintiff
Norwalk (Stamford/ Norwalk Judicial District),Neutral 
Tolland,Defense
Windham,Defense
New Britain Judicial District,Neutral 
Waterbury Judicial District,Plaintiff
Norwich ( New London Judicial District),Plaintiff
Meriden (Middlesex Judicial District ,Neutral 
Ansonia/Milford Judicial District,Neutral 
