Illinois,Orientation
Adams,Defense
Alexander,Defense
Bond,Defense
Boone,Defense
Brown,Defense
Bureau,Defense
Calhoun,Defense
Carroll,Defense
Cass,Defense
Champaign,Neutral
Christian,Defense
Clark,Defense
Clay,Defense
Clinton,Defense
Coles,Defense
Cook,Plaintiff
Crawford,Defense
Cumberland,Defense
DeKalb,Defense
De Witt,Defense
Douglas,Defense
DuPage,Defense
Edgar,Defense
Edwards,Defense
Effingham,Defense
Fayette,Defense
Ford,Defense
Franklin,Defense
Fulton,Defense
Gallatin,Defense
Greene,Defense
Grundy,Defense
Hamilton,Defense
Hancock,Defense
Hardin,Defense
Henderson,Defense
Henry,Defense
Iroquois,Defense
Jackson,Defense
Jasper,Defense
Jefferson,Defense
Jersey,Defense
Jo Daviess,Defense
Johnson,Defense
Kane,Neutral
Kankakee,Defense
Kendall,Defense
Knox,Defense
La Salle,Defense
Lake,Neutral
Lawrence,Defense
Lee,Defense
Livingston,Defense
Logan,Defense
McDonough,Defense
McHenry,Defense
McLean,Neutral
Macon,Defense
Macoupin,Defense
Madison,Plaintiff
Marion,Defense
Marshall,Defense
Mason,Defense
Massac,Defense
Menard,Defense
Mercer,Defense
Monroe,Plaintiff
Montgomery,Defense
Morgan,Defense
Moultrie,Defense
Ogle,Defense
Peoria,Neutral
Perry,Defense
Piatt,Defense
Pike,Defense
Pope,Defense
Pulaski,Defense
Putnam,Defense
Randolph,Defense
Richland,Defense
Rock Island,Defense
Saline,Defense
Sangamon,Neutral
Schuyler,Defense
Scott,Defense
Shelby,Defense
St. Clair,Plaintiff
Stark,Defense
Stephenson,Defense
Tazewell,Defense
Union,Defense
Vermilion,Defense
Wabash,Defense
Warren,Defense
Washington,Defense
Wayne,Defense
White,Defense
Whiteside,Defense
Will,Neutral
Williamson,Defense
Winnebago,Defense
Woodford,Defense
