Indiana ,Orientation
Adams,Defense
Allen,Plaintiff
Bartholomew,Neutral
Benton,Defense
Blackford,Defense
Boone,Defense
Brown,Defense
Carroll,Defense
Cass,Defense
Clark,Neutral
Clay,Defense
Clinton,Defense
Crawford,Defense
Daviess,Defense
Dearborn,Defense
Decatur,Defense
De Kalb,Defense
Delaware,Plaintiff
Dubois,Defense
Elkhart,Neutral
Fayette,Defense
Floyd,Neutral
Fountain,Defense
Franklin,Defense
Fulton,Defense
Gibson,Defense
Grant,Neutral
Greene,Defense
Hamilton,Defense
Hancock,Neutral
Harrison,Neutral
Hendricks,Neutral
Henry,Defense
Howard,Neutral
Huntington,Defense
Jackson,Defense
Jasper,Defense
Jay,Defense
Jefferson,Defense
Jennings,Defense
Johnson,Neutral
Knox,Neutral
Kosciusko,Defense
La Porte,Neutral
Lagrange,Defense
Lake,Plaintiff
Lawrence,Defense
Madison,Plaintiff
Marion,Plaintiff
Marshall,Neutral
Martin,Defense
Miami,Defense
Monroe,Plaintiff
Montgomery,Defense
Morgan,Defense
Newton,Defense
Noble,Defense
Ohio,Defense
Orange,Defense
Owen,Defense
Parke,Defense
Perry,Defense
Pike,Defense
Porter,Plaintiff
Posey,Neutral
Pulaski,Defense
Putnam,Defense
Randolph,Defense
Ripley,Defense
Rush,Defense
St. Joseph,Neutral
Scott,Defense
Shelby,Neutral
Spencer,Defense
Starke,Neutral
Steuben,Defense
Sullivan,Neutral
Switzerland,Defense
Tippecanoe,Neutral
Tipton,Defense
Union,Defense
Vanderburgh,Neutral
Vermillion,Defense
Vigo,Plaintiff
Wabash,Defense
Warren,Defense
Warrick,Neutral
Washington,Defense
Wayne,Defense
Wells,Defense
White,Defense
Whitley,Defense
