Louisiana ,Orientation
Acadia,Neutral
Allen,Plaintiff
Ascension,Plaintiff
Assumption,Plaintiff
Avoyelles,Plaintiff
Beauregard,Neutral
Bienville,Defense
Bossier,Defense
Caddo,Neutral
Calcasieu,Plaintiff
Caldwell,Neutral
Cameron,Plaintiff
Catahoula,Plaintiff
Claiborne,Defense
Concordia,Plaintiff
De Soto,Defense
East Baton Rouge,Plaintiff
East Carroll,Plaintiff
East Feliciana,Neutral
Evangeline,Plaintiff
Franklin,Plaintiff
Grant,Plaintiff
Iberia,Neutral
Iberville,Plaintiff
Jackson,Neutral
Jefferson,Defense
Jefferson Davis,Plaintiff
La Salle,Plaintiff
Lafayette,Plaintiff
Lafourche,Neutral
Lincoln,Defense
Livingston,Neutral
Madison,Plaintiff
Morehouse,Plaintiff
Natchitoches,Plaintiff
Orleans,Plaintiff
Ouachita,Neutral
Plaquemines,Neutral
Pointe Coupee,Plaintiff
Rapides,Plaintiff
Red River,Defense
Richland,Plaintiff
Sabine,Defense
St. Bernard,Plaintiff
St. Charles,Plaintiff
St. Helena,Neutral
St. James,Plaintiff
St. John The Baptist,Plaintiff
St. Landry,Plaintiff
St. Martin,Neutral
St. Mary,Neutral
St. Tammany,Defense
Tangipahoa,Neutral
Tensas,Plaintiff
Terrebonne,Neutral
Union,Neutral
Vermilion,Neutral
Vernon,Defense
Washington,Neutral
Webster,Defense
West Baton Rouge,Plaintiff
West Carroll,Plaintiff
West Feliciana,Neutral
Winn,Neutral
