Michigan ,Orientation
Alcona,Defense
Alger,Defense
Allegan,Defense
Alpena,Defense
Antrim,Defense
Arenac,Defense
Baraga,Defense
Barry,Defense
Bay,Neutral
Benzie,Defense
Berrien,Neutral
Branch,Defense
Calhoun,Neutral
Cass,Defense
Charlevoix,Defense
Cheboygan,Defense
Chippewa,Neutral
Clare,Neutral
Clinton,Neutral
Crawford,Neutral
Delta,Neutral
Dickinson,Plaintiff
Eaton,Neutral
Emmet,Defense
Genesee,Plaintiff
Gladwin,Defense
Gogebic,Defense
Grand Traverse,Neutral
Gratiot,Neutral
Hillsdale,Defense
Houghton,Neutral
Huron,Defense
Ingham,Plaintiff
Ionia,Neutral
Iosco,Defense
Iron,Neutral
Isabella,Neutral
Jackson,Neutral
Kalamazoo,Neutral
Kalkaska,Defense
Kent,Neutral
Keweenaw,Defense
Lake,Defense
Lapeer,Neutral
Leelanau,Neutral
Lenawee,Defense
Livingston,Neutral
Luce,Neutral
Mackinac,Neutral
Macomb,Neutral
Manistee,Defense
Marquette,Neutral
Mason,Defense
Mecosta,Neutral
Menominee,Defense
Midland,Neutral
Missaukee,Defense
Monroe,Neutral
Montcalm,Defense
Montmorency,Defense
Muskegon,Neutral
Newaygo,Defense
Oakland,Plaintiff
Oceana,Defense
Ogemaw,Defense
Ontonagon,Defense
Osceola,Defense
Oscoda,Defense
Otsego,Defense
Ottawa,Defense
Presque Isle,Defense
Roscommon,Defense
Saginaw,Neutral
St. Clair,Neutral
St. Joseph,Defense
Sanilac,Neutral
Schoolcraft,Defense
Shiawassee,Defense
Tuscola,Neutral
Van Buren,Defense
Washtenaw,Plaintiff
Wayne,Plaintiff
Wexford,Defense
