Minneosta ,Orientation,
Aitkin,Neutral,
Anoka,Neutral,
Becker,Neutral,
Beltrami,Plaintiff,
Benton,Neutral,
Big Stone,Neutral,
Blue Earth,Neutral,
Brown,Neutral,
Carlton,Neutral,
Carver,Neutral,
Cass,Plaintiff,
Chippewa,Neutral,
Chisago,Neutral,
Clay,Neutral,
Clearwater,Neutral,
Cook,Plaintiff,
Cottonwood,Neutral,
Crow Wing,Neutral,
Dakota,Plaintiff,
Dodge,Neutral,
Douglas,Neutral,
Faribault,Neutral,
Fillmore,Neutral,
Freeborn,Neutral,
Goodhue,Neutral,
Grant,Neutral,
Hennepin,Plaintiff,
Houston,Neutral,
Hubbard,Neutral,
Isanti,Neutral,
Itasca,Plaintiff,
Jackson,Neutral,
Kanabec,Neutral,
Kandiyohi,Neutral,
Kittson,Plaintiff,
Koochiching,Plaintiff,
Lac Qui Parle,Neutral,
Lake,Plaintiff,
Lake Of The Wood,Neutral,
Le Sueur,Neutral,
Lincoln,Neutral,
Lyon,Neutral,
Mahnomen,Neutral,
Marshall,Neutral,
Martin,Neutral,
McLeod,Neutral,
Meeker,Neutral,
Mille Lacs,Neutral,
Morrison,Neutral,
Mower,Neutral,
Murray,Neutral,
Nicollet,Neutral,
Nobles,Neutral,
Norman,Neutral,
Olmsted,Defense,
Otter Tail,Neutral,
Pennington,Neutral,
Pine,Neutral,
Pipestone,Neutral,
Polk,Neutral,
Pope,Neutral,
Ramsey,Neutral,
Red Lake,Neutral,
Redwood,Neutral,
Renville,Neutral,
Rice,Neutral,
Rock,Neutral,
Roseau,Neutral,
St. Louis,Neutral,
Scott,Neutral,
Sherburne,Neutral,
Sibley,Neutral,
Stearns,Neutral,
Steele,Neutral,
Stevens,Neutral,
Swift,Neutral,
Todd,Neutral,
Traverse,Neutral,
Wabasha,Neutral,
Wadena,Neutral,
Waseca,Neutral,
Washington,Neutral,
Watonwan,Neutral,
Wilkin,Neutral,
Winona,Neutral,
Wright,Neutral,
Yellow Medicine,Neutral,
