"Mississippi
",Orientation
Adams,Neutral
Alcorn,Defense
Amite,Neutral
Attala,Neutral
Benton,Neutral
Bolivar,Plaintiff
Calhoun,Neutral
Carroll,Neutral
Chickasaw,Neutral
Choctaw,Neutral
Claiborne,Plaintiff
Clarke,Neutral
Clay,Neutral
Coahoma,Plaintiff
Copiah,Neutral
Covington,Neutral
De Soto,Defense
Forrest,Neutral
Franklin,Neutral
George,Neutral
Greene,Defense
Grenada,Neutral
Hancock,Defense
Harrison,Neutral
Hinds,Plaintiff
Holmes,Plaintiff
Humphreys,Plaintiff
Issaquena,Plaintiff
Itawamba,Neutral
Jackson,Neutral
Jasper,Plaintiff
Jefferson,Plaintiff
Jefferson Davis,Neutral
Jones,Plaintiff
Kemper,Neutral
Lafayette,Defense
Lamar,Neutral
Lauderdale,Defense
Lawrence,Neutral
Leake,Neutral
Lee,Defense
Leflore,Plaintiff
Lincoln,Neutral
Lowndes,Neutral
Madison,Neutral
Marion,Neutral
Marshall,Neutral
Monroe,Neutral
Montgomery,Neutral
Neshoba,Neutral
Newton,Neutral
Noxubee,Plaintiff
Oktibbeha,Neutral
Panola,Neutral
Pearl River,Defense
Perry,Neutral
Pike,Neutral
Pontotoc,Defense
Prentiss,Defense
Quitman,Plaintiff
Rankin,Defense
Scott,Neutral
Sharkey,Plaintiff
Simpson,Neutral
Smith,Plaintiff
Stone,Neutral
Sunflower,Plaintiff
Tallahatchie,Plaintiff
Tate,Defense
Tippah,Defense
Tishomingo,Defense
Tunica,Plaintiff
Union,Defense
Walthall,Neutral
Warren,Neutral
Washington,Plaintiff
Wayne,Defense
Webster,Defense
Wilkinson,Plaintiff
Winston,Neutral
Yalobusha,Neutral
Yazoo,Plaintiff
