North Carolina ,Orientation,
Alamance,Neutral,
Alexander,Neutral,
Alleghany,Neutral,
Anson,Plaintiff,
Ashe,Defense,
Avery,Neutral,
Beaufort,Neutral,
Bertie,Plaintiff,
Bladen,Neutral,
Brunswick,Neutral,
Buncombe,Plaintiff,
Burke,Defense,
Cabarrus,Defense,
Caldwell,Defense,
Camden,Neutral,
Carteret,Plaintiff,
Caswell,Neutral,
Catawba,Neutral,
Chatham,Neutral,
Cherokee,Defense,
Chowan,Neutral,
Clay,Defense,
Cleveland,Neutral,
Columbus,Neutral,
Craven,Neutral,
Cumberland,Plaintiff,
Currituck,Plaintiff,`
Dare,Defense,
Davidson,Defense,
Davie,Defense,
Duplin,Neutral,
Durham,Plaintiff,
Edgecombe,Plaintiff,
Forsyth,Neutral,
Franklin,Neutral,
Gaston,Neutral,
Gates,Neutral,
Graham,Defense,
Granville,Neutral,
Greene,Neutral,
Guilford,Neutral,
Halifax,Neutral,
Harnett,Neutral,
Haywood,Neutral,
Henderson,Neutral,
Hertford,Plaintiff,
Hoke,Plaintiff,
Hyde,Defense,
Iredell,Neutral,
Jackson,Defense,
Johnston,Defense,
Jones,Neutral,
Lee,Defense,
Lenoir,Plaintiff,
Lincoln,Neutral,
McDowell,Neutral,
Macon,Defense,
Madison,Neutral,
Martin,Neutral,
Mecklenburg,Neutral,
Mitchell,Neutral,
Montgomery,Neutral,
Moore,Neutral,
Nash,Defense,
New Hanover,Defense,
Northampton,Neutral,
Onslow,Neutral,
Orange,Plaintiff,
Pamlico,Neutral,
Pasquotank,Neutral,
Pender,Neutral,
Perquimans,Neutral,
Person,Neutral,
Pitt,Neutral,
Polk,Neutral,
Randolph,Defense,
Richmond,Plaintiff,
Robeson,Plaintiff,
Rockingham,Defense,
Rowan,Neutral,
Rutherford,Neutral,
Sampson,Defense,
Scotland,Plaintiff,
Stanly,Neutral,
Stokes,Defense,
Surry,Defense,
Swain,Defense,
Transylvania,Defense,
Tyrrell,Neutral,
Union,Neutral,
Vance,Neutral,
Wake,Defense,
Warren,Plaintiff,
Washington,Neutral,
Watauga,Plaintiff,
Wayne,Defense,
Wilkes,Neutral,
Wilson,Plaintiff,
Yadkin,Neutral,
Yancey,Neutral,
