Ohio ,Orientation
Adams,Neutral
Allen,Neutral
Ashland,Defense
Ashtabula,Plaintiff
Athens,Defense
Auglaize,Defense
Belmont,Defense
Brown,Neutral
Butler,Defense
Carroll,Defense
Champaign,Neutral
Clark,Neutral
Clermont,Neutral
Clinton,Neutral
Columbiana,Neutral
Coshocton,Defense
Crawford,Neutral
Cuyahoga,Plaintiff
Darke,Defense
Defiance,Defense
Delaware,Neutral
Erie,Defense
Fairfield,Defense
Fayette,Neutral
Franklin,Neutral
Fulton,Neutral
Gallia,Defense
Geauga,Neutral
Greene,Neutral
Guernsey,Plaintiff
Hamilton,Defense
Hancock,Defense
Hardin,Defense
Harrison,Defense
Henry,Neutral
Highland,Neutral
Hocking,Defense
Holmes,Defense
Huron,Defense
Jackson,Neutral
Jefferson,Plaintiff
Knox,Defense
Lake,Neutral
Lawrence,Neutral
Licking,Defense
Logan,Defense
Lorain,Neutral
Lucas,Plaintiff
Madison,Neutral
Mahoning,Plaintiff
Marion,Defense
Medina,Neutral
Meigs,Neutral
Mercer,Defense
Miami,Defense
Monroe,Neutral
Montgomery,Neutral
Morgan,Neutral
Morrow,Defense
Muskingum,Defense
Noble,Neutral
Ottawa,Neutral
Paulding,Defense
Perry,Defense
Pickaway,Defense
Pike,Neutral
Portage,Defense
Preble,Defense
Putnam,Defense
Richland,Defense
Ross,Neutral
Sandusky,Neutral
Scioto,Neutral
Seneca,Defense
Shelby,Defense
Stark,Plaintiff
Summit,Plaintiff
Trumbull,Plaintiff
Tuscarawas,Neutral
Union,Neutral
Van Wert,Defense
Vinton,Defense
Warren,Defense
Washington,Neutral
Wayne,Neutral
Williams,Defense
Wood,Neutral
Wyandot,Defense
