Pennsylvania ,Orientation
Adams,Defense
Allegheny,Neutral
Armstrong,Defense
Beaver,Defense
Bedford,Defense
Berks,Neutral
Blair,Neutral
Bradford,Defense
Bucks,Neutral
Butler,Defense
Cambria,Neutral
Cameron,Defense
Carbon,Defense
Centre,Plaintiff
Chester,Neutral
Clarion,Defense
Clearfield,Defense
Clinton,Defense
Columbia,Defense
Crawford,Defense
Cumberland,Defense
Dauphin,Neutral
Delaware,Plaintiff
Elk,Defense
Erie,Neutral
Fayette,Defense
Forest,Defense
Franklin,Defense
Fulton,Defense
Greene,Defense
Huntingdon,Defense
Indiana,Defense
Jefferson,Defense
Juniata,Defense
Lackawanna,Neutral
Lancaster,Defense
Lawrence,Neutral
Lebanon,Defense
Lehigh,Neutral
Luzerne,Neutral
Lycoming,Defense
McKean,Defense
Mercer,Defense
Mifflin,Defense
Monroe,Defense
Montgomery,Neutral
Montour,Defense
Northampton,Defense
Northumberland,Defense
Perry,Defense
Philadelphia,Plaintiff
Pike,Defense
Potter,Defense
Schuylkill,Neutral
Snyder,Defense
Somerset,Defense
Sullivan,Defense
Susquehanna,Defense
Tioga,Defense
Union,Defense
Venango,Defense
Warren,Defense
Washington,Neutral
Wayne,Defense
Westmoreland,Plaintiff
Wyoming,Defense
York,Defense
