South Dakota ,Orientation
Aurora,Neutral
Beadle,Neutral
Bennett,Plaintiff
Bon Homme,Plaintiff
Brookings,Neutral
Brown,Plaintiff
Brule,Neutral
Buffalo,Neutral
Butte,Neutral
Campbell,Neutral
Charles Mix,Plaintiff
Clark,Neutral
Clay,Plaintiff
Codington,Neutral
Corson,Neutral
Custer,Neutral
Davison,Neutral
Day,Neutral
Deuel,Neutral
Dewey,Neutral
Douglas,Neutral
Edmunds,Neutral
Fall River,Plaintiff
Faulk,Neutral
Grant,Neutral
Gregory,Neutral
Haakon,Neutral
Hamlin,Neutral
Hand,Neutral
Hanson,Neutral
Harding,Neutral
Hughes,Neutral
Hutchinson,Neutral
Hyde,Neutral
Jackson,Neutral
Jerauld,Neutral
Jones,Neutral
Kingsbury,Neutral
Lake,Neutral
Lawrence,Neutral
Lincoln,Neutral
Lyman,Neutral
McCook,Neutral
McPherson,Neutral
Marshall,Neutral
Meade,Neutral
Mellette,Neutral
Miner,Neutral
Minnehaha,Neutral
Moody,Neutral
Pennington,Neutral
Perkins,Neutral
Potter,Neutral
Roberts,Neutral
Sanborn,Neutral
Shannon,Plaintiff
Spink,Neutral
Stanley,Neutral
Sully,Neutral
Todd,Plaintiff
Tripp,Plaintiff
Turner,Neutral
Union,Neutral
Walworth,Neutral
Yankton,Plaintiff
Ziebach,Neutral
