Texas ,Orientation
Anderson,Defense 
Andrews,Defense 
Angelina,Neutral
Aransas,Defense 
Archer,Defense 
Armstrong,Defense 
Atascosa,Neutral
Austin,Defense 
Bailey,Defense 
Bandera,Neutral
Bastrop,Defense 
Baylor,Defense
Bee,Neutral
Bell,Defense 
Bexar,Plaintiff
Blanco,Defense 
Borden,Defense 
Bosque,Defense 
Bowie,Defense 
Brazoria,Plaintiff
Brazos,Defense 
Brewster,Neutral
Briscoe,Defense 
Brooks,Neutral
Brown,Neutral
Burleson,Defense 
Burnet,Defense 
Caldwell,Defense 
Calhoun,Plaintiff
Callahan,Defense 
Cameron,Plaintiff
Camp,Neutral
Carson,Defense 
Cass,Defense 
Castro,Defense 
Chambers,Plaintiff 
Cherokee,Plaintiff 
Childress,Defense 
Clay,Defense 
Cochran,Defense
Coke,Defense 
Coleman,Defense 
Collin,Neutral
Collingsworth,Defense 
Colorado,Defense 
Comal,Neutral
Comanche,Neutral
Concho,Neutral
Cooke,Defense 
Coryell,Defense 
Cottle,Defense 
Crane,Neutral
Crockett,Defense 
Crosby,Defense 
Culberson,Defense 
Dallam,Defense 
Dallas,Plaintiff
Dawson,Plaintiff 
Deaf Smith,Defense 
Delta,Defense 
Denton,Neutral
DeWitt,Plaintiff 
Dickens,Defense 
Dimmit,Plaintiff
Donley,Defense 
Duval,Plaintiff 
Eastland,Defense 
Ector,Plaintiff 
Edwards,Defense 
Ellis,Neutral
El Paso,Plaintiff 
Erath,Neutral
Falls,Plaintiff 
Fannin,Defense 
Fayette,Defense 
Fisher,Neutral
Floyd,Defense 
Foard,Defense 
Fort Bend,Plaintiff
Franklin,Defense 
Freestone,Neutral
Frio,Neutral
Gaines,Plaintiff 
Galveston,Plantiff 
Garza,Defense 
Gillespie,Defense
Glasscock,Plaintiff 
Goliad,Plaintiff
Gonzales,Plaintiff 
Gray,Defense 
Grayson,Defense 
Gregg,Plaintiff 
Grimes,Plaintiff
Guadalupe,Plaintiff 
Hale,Defense 
Hall,Defense 
Hamilton,Defense 
Hansford,Defense 
Hardeman,Defense 
Hardin,Plaintiff
Harris,Plaintiff
Harrison,Plaintiff
Hartley,Defense 
Haskell,Defense 
Hays,Defense 
Hemphill,Defense 
Henderson,Neutral
Hidalgo,Plaintiff 
Hill,defense 
Hockley,Neutral
Hood,Neutral
Hopkins,Neutral
Houston,Neutral
Howard,Defense 
Hudspeth,Defense 
Hunt,Defense 
Hutchinson,Defense 
Irion,Neutral
Jack,Neutral
Jackson,Plaintiff
Jasper,Plaintiff
Jeff Davis,Defense 
Jefferson,Plaintiff 
Jim Hogg,Plaintiff 
Jim Wells,Plaintiff 
Johnson,Neutral
Jones,Plaintiff 
Karnes,Neutral
Kaufman,Neutral
Kendall,Neutral
Kenedy,Plaintiff
Kent,Defense
Kerr,Neutral
Kimble,Defense
King,Defense
Kinney,Defense 
Kleberg,Plaintiff
Knox,Neutral
Lamar,Defense 
Lamb,Defense 
Lampasas,Defense 
La Salle,Neutral
Lavaca,Neutral
Lee,Defense 
Leon,Plaintiff 
Liberty,Neutral
Limestone,Plaintiff 
Lipscomb,Defense 
Live Oak,Neutral
Llano,Defense 
Loving,Neutral
Lubbock,Defense 
Lynn,Defense 
McCulloch,Defense 
McLennan,Neutral
McMullen,Defense 
Madison,Plaintiff 
Marion,Plaintiff
Martin,Neutral
Mason,Defense 
Matagorda,Plaintiff 
Maverick,Plaintiff 
Medina,Plaintiff 
Menard,Defense 
Midland,Defense 
Milam,Defense 
Mills,Defense 
Mitchell,Neutral
Montague,Defense 
Montgomery,Neutral
Moore,Defense 
Morris,Plaintiff 
Motley,Defense 
Nacogdoches,Defense 
Navarro,Neutral
Newton,Neutral
Nolan,Plaintiff 
Nueces,Plaintiff 
Ochiltree,Defense 
Oldham,Defense 
Orange,Plaintiff
Palo Pinto,Neutral
Panola,Defense 
Parker,Neutral
Parmer,defense 
Pecos,Defense 
Polk,Defense 
Potter,Plaintiff 
Presidio,Neutral
Rains,Defense 
Randall,Defense 
Reagan,Neutral
Real,Defense 
Red River,Defense 
Reeves,Defense 
Refugio,Plaintiff
Roberts,Defense 
Robertson,Plaintiff 
Rockwall,Defense 
Runnels,Defense 
Rusk,Plaintiff 
Sabine,Defense 
San Augustine,Defense 
San Jacinto,Neutral
San Patricio,Plaintiff
San Saba,Defense
Schleicher,Neutral
Scurry,Defense 
Shackelford,Plaintiff 
Shelby,Neutral
Sherman,Defense 
Smith,Neutral
Somervell,Neutral
Starr,Plaintiff 
Stephens,Defense
Sterling,Defense
Stonewall,Neutral
Sutton,Defense 
Swisher,Defense 
Tarrant,Neutral
Taylor,Defense 
Terrell,Neutral
Terry,Defense 
Throckmorton,Defense 
Titus,Defense 
Tom Green,Neutral
Travis,Plaintiff
Trinity,Defense 
Tyler,Plaintiff
Upshur,Neutral
Upton,Neutral
Uvalde,Neutral
Val Verde,Defense 
Van Zandt,Defense 
Victoria,Plaintiff
Walker,Defense 
Waller,Defense 
Ward,Defense 
Washington,Defense 
Webb,Plaintiff 
Wharton,Neutral
Wheeler,Defense 
Wichita,Defense 
Wilbarger,Neutral
Willacy,Plaintiff
Williamson,Neutral
Wilson,Neutral
Winkler,Defense 
Wise,Plaintiff 
Wood,Neutral
Yoakum,Neutral
Young,Neutral
Zapata,Plaintiff 
Zavala,Plaintiff 
