West Virginia ,Orientation
Barbour,Defense
Berkeley,Neutral
Boone,Plaintiff
Braxton,Defense
Brooke,Plaintiff
Cabell,Neutral
Calhoun,Defense 
Clay,Defense 
Doddridge,Defense 
Fayette,Neutral
Gilmer,Defense
Grant,Defense 
Greenbrier,Neutral
Hampshire,Defense 
Hancock,Plaintiff 
Hardy,Defense 
Harrison,Neutral
Jackson,Defense 
Jefferson,Neutral
Kanawha,Plaintiff
Lewis,Defense 
Lincoln,Plaintiff 
Logan,Plaintiff 
McDowell,Plaintiff 
Marion,Neutral
Marshall,Plaintiff 
Mason,Defense 
Mercer,Plaintiff 
Mineral,Defense 
Mingo,Plaintiff
Monongalia,Plaintiff 
Monroe,Defense 
Morgan,Defense 
Nicholas,Defense 
Ohio,Plaintiff 
Pendleton,Defense 
Pleasants,Neutral
Pocahontas,Defense 
Preston,Neutral
Putnam,Neutral
Raleigh,Neutral
Randolph,Neutral
Ritchie,Defense
Roane,Defense 
Summers,Defense
Taylor,Defense 
Tucker,Defense 
Tyler,Defense 
Upshur,Defense 
Wayne,Neutral
Webster,Defense
Wetzel,Neutral
Wirt,Defense 
Wood,Neutral
Wyoming,Plaintiff 
